tax	numbers	balanced accuracy	AUC	AP	round
Proteobacteria	3215	0.7925500285877645	0.9132818753573472	0.985551560901544	23
Alphaproteobacteria	991	0.5605428839675264	0.7853316396973545	0.9864418326325142	23
Betaproteobacteria	518	0.5357142857142857	0.8265670553935861	0.9838575254133164	23
Gammaproteobacteria	1403	0.65424739195231	0.8363587500916175	0.9869681813626805	23
Actinobacteria	1520	0.8855773420479303	0.9711459694989106	0.995902377026995	24
Firmicutes	1862	0.9110686411253228	0.9700721132445024	0.9717369218614742	24
Bacteroidetes	889	0.9768576637972262	0.9944516678622668	0.9978759001935796	24
Proteobacteria	3206	0.8142850406417805	0.9069966343064962	0.9844081723098619	24
Alphaproteobacteria	985	0.6513888888888889	0.8262037037037038	0.9870831931652798	24
Betaproteobacteria	516	0.6446624803767661	0.8096153846153846	0.9831563107797014	24
Gammaproteobacteria	1411	0.6617607771706132	0.8312932604735883	0.9869038479182345	24
Actinobacteria	1532	0.9200799660973228	0.9718368249405782	0.995111266024213	25
Firmicutes	1868	0.8844486595376158	0.967518026583327	0.9707216211299663	25
Bacteroidetes	874	0.9598696179502729	0.9929389023650698	0.9966510725375635	25
Proteobacteria	3191	0.8497104967579929	0.9184114761565224	0.9858719165203724	25
Alphaproteobacteria	988	0.6101159114857745	0.786063602712707	0.9835430519637481	25
Betaproteobacteria	516	0.6703747072599532	0.821135831381733	0.9824793435032296	25
Gammaproteobacteria	1395	0.7960312075983718	0.8557937584803257	0.9901455427595124	25
Actinobacteria	1527	0.9017023273107123	0.9654776342696281	0.9931949737445269	26
Firmicutes	1869	0.9085186058854751	0.9555994574512	0.9582516383624526	26
Bacteroidetes	848	0.9762535636424619	0.9931955391581418	0.99682077371925	26
Proteobacteria	3223	0.8405856708541273	0.9146193999885276	0.9845618968557992	26
Alphaproteobacteria	969	0.6622636585082937	0.7685448323860341	0.9816289336072757	26
Betaproteobacteria	514	0.6133354350567466	0.7637531525851199	0.9766549169516439	26
Gammaproteobacteria	1434	0.7475433715807195	0.8664167253710314	0.9905976421858401	26
Actinobacteria	1554	0.9337957015381411	0.979158709767022	0.9971521108616094	27
Firmicutes	1869	0.9208819151284062	0.9669692707917561	0.9689684706911815	27
Bacteroidetes	864	0.9776376564231575	0.994066638085146	0.9977285157236461	27
Proteobacteria	3181	0.8422491310442832	0.9116383655951146	0.9851141253600065	27
Alphaproteobacteria	986	0.6171174830097744	0.8060000541521133	0.9861058836496948	27
Betaproteobacteria	495	0.6538054968287527	0.7456755717855084	0.9781746693151132	27
Gammaproteobacteria	1401	0.7687883534033431	0.8419647212879042	0.9890247300796616	27
Actinobacteria	1525	0.9265605434087367	0.972446690629983	0.9962983930074794	28
Firmicutes	1877	0.8873099171717219	0.9671996743943431	0.9687498098892626	28
Bacteroidetes	869	0.9655575497095358	0.9933051527889293	0.9972084282670348	28
Proteobacteria	3198	0.846771095195181	0.9220118104634066	0.9870832743563489	28
Alphaproteobacteria	975	0.6528221512247071	0.7972429298307893	0.9851887513800948	28
Betaproteobacteria	513	0.719450101832994	0.8655804480651732	0.9919758092135629	28
Gammaproteobacteria	1404	0.7024388994210176	0.8398127273658861	0.9884974059041852	28
Actinobacteria	1524	0.8759692673492201	0.9635604272761148	0.9944958450071821	29
Firmicutes	1868	0.915146708961142	0.9666045938597485	0.9651689382488092	29
Bacteroidetes	860	0.9479381068842774	0.9881024448910735	0.9933697336815144	29
Proteobacteria	3217	0.8349499414146335	0.9190356036612954	0.9868285699745329	29
Alphaproteobacteria	983	0.65666063893912	0.8123869801084991	0.9904580988006101	29
Betaproteobacteria	509	0.613801652892562	0.7742975206611571	0.9811276475445015	29
Gammaproteobacteria	1416	0.6747928135019056	0.8557195571955719	0.9890776796701513	29
Actinobacteria	1527	0.8672113543445634	0.9764184305404613	0.9966745118857643	30
Firmicutes	1878	0.8892106990482442	0.9681437245065404	0.9693571414200471	30
Bacteroidetes	864	0.9679824561403509	0.9850633528265107	0.9914801237895483	30
Proteobacteria	3191	0.8293923822455287	0.8962168742391609	0.9806694600094691	30
Alphaproteobacteria	975	0.6456215244621692	0.7424872212548448	0.9797596157619574	30
Betaproteobacteria	522	0.5683921341816078	0.7591816078658185	0.9747014259458449	30
Gammaproteobacteria	1391	0.6791590138914039	0.8348229298703985	0.9870893486597001	30
Actinobacteria	1520	0.9226102941176471	0.9669967830882352	0.9950252906681515	31
Firmicutes	1899	0.8875252730401129	0.9695086190765244	0.9728484669754002	31
Bacteroidetes	849	0.9651076705185566	0.9955620111372195	0.9986663809026322	31
Proteobacteria	3203	0.8580017555884227	0.9228202445799214	0.9872056870919097	31
Alphaproteobacteria	980	0.6531483763721304	0.8022699263420366	0.9859889491687046	31
Betaproteobacteria	514	0.756547619047619	0.8206632653061223	0.9828208954806623	31
Gammaproteobacteria	1411	0.777951933124347	0.881412952060555	0.9924658233945421	31
Actinobacteria	1527	0.9190161527165932	0.9732167489876741	0.9956857451424148	32
Firmicutes	1855	0.9161443447157733	0.9681210497537028	0.9711035012492102	32
Bacteroidetes	868	0.9750733137829912	0.9920497903068143	0.9963040720520059	32
Proteobacteria	3221	0.8416527563159115	0.9127734905069032	0.9855569561135504	32
Alphaproteobacteria	981	0.6133597883597883	0.8034979423868314	0.9898489229978789	32
Betaproteobacteria	512	0.700136612021858	0.8034494535519124	0.9792793097710011	32
Gammaproteobacteria	1415	0.7220453949407529	0.8199878406408697	0.9863198933395909	32
Actinobacteria	1525	0.8786520512263947	0.9789407423486	0.9970884524431448	33
Firmicutes	1885	0.9003213665315577	0.9609490445859873	0.9611078033063463	33
Bacteroidetes	846	0.9607027009135443	0.9890813253012047	0.9956269613151773	33
Proteobacteria	3211	0.8261221234905445	0.911825017088175	0.9861514316007199	33
Alphaproteobacteria	984	0.6272153885670253	0.8158908644653101	0.9880793806514494	33
Betaproteobacteria	517	0.6904040404040405	0.8629935720844811	0.9910438303678457	33
Gammaproteobacteria	1413	0.6364929785661493	0.7875030795762503	0.9839355768472432	33
Actinobacteria	1549	0.8476328096486985	0.9633314660623499	0.9937622148679549	34
Firmicutes	1867	0.8951409396606873	0.9668235285786115	0.967410040237586	34
Bacteroidetes	875	0.9671801114284377	0.9915960485041434	0.9962724194704579	34
Proteobacteria	3173	0.838781163434903	0.9172182533897069	0.9869965747538525	34
Alphaproteobacteria	953	0.6312553011026294	0.75895129043984	0.98327541919731	34
Betaproteobacteria	524	0.6902996601791782	0.8541087426629596	0.9890784231252342	34
Gammaproteobacteria	1397	0.7026904948939513	0.8621956009426551	0.990389084644311	34
Actinobacteria	1547	0.8804538312787044	0.9816054594426603	0.9975422146120319	35
Firmicutes	1863	0.9204126614465132	0.9662545597129313	0.9693090688376123	35
Bacteroidetes	870	0.9775428060311782	0.9940422949143879	0.997927056267502	35
Proteobacteria	3190	0.8377949558600153	0.9087573127998435	0.9838857320453758	35
Alphaproteobacteria	986	0.6331058944575312	0.7779357214415292	0.9836534442135927	35
Betaproteobacteria	525	0.641120035698349	0.760300461103674	0.9771878475310396	35
Gammaproteobacteria	1373	0.7071909113988322	0.860085046966235	0.9894104300956621	35
Actinobacteria	1545	0.9367116574274925	0.9766275675530918	0.9967143247764726	36
Firmicutes	1881	0.8993412124937659	0.9678661315951241	0.9701500737314183	36
Bacteroidetes	862	0.9842262407751676	0.9962376365114239	0.9984967110934047	36
Proteobacteria	3190	0.8497791274217015	0.9191529787885749	0.9855621404981306	36
Alphaproteobacteria	988	0.7504422125618349	0.7982461400089941	0.9821542731653894	36
Betaproteobacteria	514	0.6594798083504448	0.8050422085329683	0.9828483575763821	36
Gammaproteobacteria	1386	0.6950980392156862	0.8581385118149825	0.9905192527499679	36
Actinobacteria	1551	0.8485972801328893	0.9688352055840331	0.9950471533454777	37
Firmicutes	1851	0.9121435494872379	0.967901803343425	0.9696101314698428	37
Bacteroidetes	873	0.9710205845380264	0.9917583280955373	0.9961312807273921	37
Proteobacteria	3202	0.8331579814527139	0.9142117403379937	0.9858048019058087	37
Alphaproteobacteria	992	0.6663908198168377	0.810824230387289	0.9876322382627112	37
Betaproteobacteria	518	0.6417847503373819	0.7568319838056681	0.9782950715586978	37
Gammaproteobacteria	1390	0.7253292996358963	0.8500883486828015	0.9903531786635369	37
Actinobacteria	1553	0.9391275527226115	0.9771549983318407	0.9964426264732779	38
Firmicutes	1859	0.8922556847275693	0.9702203720912589	0.9719039887772822	38
Bacteroidetes	882	0.9728234728234728	0.9928460722111515	0.9965424175387456	38
Proteobacteria	3190	0.8795512878581997	0.9314883594528492	0.9887731415023278	38
Alphaproteobacteria	984	0.7667469516784585	0.8506698780671382	0.9914744337097587	38
Betaproteobacteria	505	0.7385654885654886	0.827009702009702	0.9833566498650135	38
Gammaproteobacteria	1397	0.771858153638814	0.8597119272237197	0.991545126439955	38
Actinobacteria	1535	0.8865076863816227	0.973077966873271	0.9954616487702231	39
Firmicutes	1876	0.8890391756633795	0.970376134616353	0.9743935822693393	39
Bacteroidetes	875	0.9766298682839003	0.9925653052844372	0.9968733733857139	39
Proteobacteria	3191	0.8367733896744136	0.910227013098359	0.9847739789830656	39
Alphaproteobacteria	973	0.6125386996904025	0.7795243456234168	0.9827603321406702	39
Betaproteobacteria	518	0.7084896810506567	0.7814649781113197	0.9800942235219502	39
Gammaproteobacteria	1397	0.6896835651490968	0.8326112842339946	0.9887791423964069	39
Actinobacteria	1509	0.890887792960738	0.9731264642339493	0.9959765292632448	40
Firmicutes	1890	0.918802365271565	0.961068404178969	0.9581043388481734	40
Bacteroidetes	861	0.9682989564049215	0.9915996330215109	0.9964050100096885	40
Proteobacteria	3200	0.8498933373720724	0.9090978466711517	0.9845417010722551	40
Alphaproteobacteria	975	0.5810828877005347	0.7614839572192513	0.9824792942758052	40
Betaproteobacteria	519	0.6862224996099235	0.8452956779528787	0.9872014488806591	40
Gammaproteobacteria	1403	0.7622892141266306	0.8469482447767526	0.9901484341599789	40
Actinobacteria	1528	0.8669589549776273	0.9752031572417252	0.9966494315786681	41
Firmicutes	1874	0.9012487892950171	0.9696747787818663	0.9719688484876245	41
Bacteroidetes	870	0.9720201238390093	0.9919040247678019	0.9957370324373125	41
Proteobacteria	3197	0.8421619232975113	0.9287019669233445	0.9892564226066372	41
Alphaproteobacteria	993	0.6910919540229885	0.8383548124927435	0.9902138099251184	41
Betaproteobacteria	525	0.6040829986613119	0.8199092666964153	0.9855643049667628	41
Gammaproteobacteria	1376	0.7098213691925036	0.8783900615830705	0.9920722048829752	41
Actinobacteria	1545	0.9268770152003685	0.9726106567706387	0.9963434686788608	42
Firmicutes	1886	0.9047653822970279	0.9674496916585524	0.9683540626016511	42
Bacteroidetes	846	0.9762505254308533	0.992367859291678	0.9964037377324341	42
Proteobacteria	3206	0.8345269882757778	0.9082517323078948	0.9844080732118078	42
Alphaproteobacteria	980	0.5876883239171375	0.8205037664783428	0.9898770056685959	42
Betaproteobacteria	519	0.6521464646464646	0.7521043771043772	0.9753758671214612	42
Gammaproteobacteria	1394	0.7157291133593144	0.8089726935138895	0.9859839644550874	42
Actinobacteria	1529	0.9118783066406777	0.9719277995850139	0.9959408806852268	43
Firmicutes	1876	0.8812313117610149	0.9658537611340716	0.966776749613701	43
Bacteroidetes	867	0.973528424887355	0.9927300035151632	0.996712477133018	43
Proteobacteria	3198	0.8511004629062214	0.903122024342645	0.9821596158959254	43
Alphaproteobacteria	974	0.6747815050910035	0.7783466497447287	0.9845980082242929	43
Betaproteobacteria	523	0.7197028323788888	0.7697724810400868	0.9766368477162013	43
Gammaproteobacteria	1393	0.7355493080633043	0.8412544533578924	0.986427448028191	43
Actinobacteria	1530	0.9087819343065693	0.9809899635036496	0.9976270465955155	44
Firmicutes	1885	0.8984192240880139	0.9687579617834394	0.9715259809959227	44
Bacteroidetes	843	0.9652899306724103	0.9929326243521573	0.9973533514200978	44
Proteobacteria	3215	0.8124381909821922	0.9094894319367622	0.9846322284507938	44
Alphaproteobacteria	1004	0.5717417297728178	0.758974358974359	0.9838528854836115	44
Betaproteobacteria	505	0.6325277019431508	0.8067689095872812	0.9810862652173318	44
Gammaproteobacteria	1398	0.6271610005794862	0.8440759609812634	0.9882912309879744	44
Actinobacteria	1541	0.9277951248123932	0.966155312505391	0.9920422626669614	45
Firmicutes	1875	0.9140298812214407	0.9697690847174404	0.9743642152365933	45
Bacteroidetes	878	0.9703239671688881	0.9935526646699742	0.9970660904009885	45
Proteobacteria	3173	0.8512384459849798	0.9200167292509147	0.9866412561684317	45
Alphaproteobacteria	958	0.5945828819068256	0.8113449930351339	0.9870231029637402	45
Betaproteobacteria	509	0.6844072164948454	0.8557130584192439	0.9907918326475168	45
Gammaproteobacteria	1406	0.7823798910351659	0.8329990094105993	0.9866908665711789	45
Actinobacteria	1529	0.9041374914950606	0.9393823906846154	0.9843010261331069	46
Firmicutes	1859	0.9245324889815423	0.9667173563316865	0.9692093370997846	46
Bacteroidetes	876	0.9684386973180077	0.9894995210727969	0.9950571562478454	46
Proteobacteria	3204	0.8328409604094535	0.9155543193963571	0.9862355716765885	46
Alphaproteobacteria	965	0.5982512916595697	0.8365411911656163	0.990671357343488	46
Betaproteobacteria	530	0.7223651487865534	0.7518223136952233	0.9798494826120026	46
Gammaproteobacteria	1408	0.6527822033398242	0.8458075175547294	0.9880018987230458	46
Actinobacteria	1532	0.8940406976744186	0.9720117989056088	0.9957572302278154	47
Firmicutes	1869	0.9191094204520027	0.9660350249084336	0.9689572191630622	47
Bacteroidetes	882	0.9781606387087114	0.9917442327850505	0.995680139505444	47
Proteobacteria	3179	0.8358279323474296	0.9122778434251202	0.9844599344899878	47
Alphaproteobacteria	975	0.6581196581196581	0.7913790269559501	0.9815598751882704	47
Betaproteobacteria	512	0.6159926292309185	0.7538066142954127	0.9821959490504646	47
Gammaproteobacteria	1396	0.6951347305389222	0.837811876247505	0.9882294589733402	47
Actinobacteria	1513	0.9328337850287565	0.975342349352868	0.9958252755397287	48
Firmicutes	1876	0.8772212623091296	0.9663357307748138	0.9702066042316537	48
Bacteroidetes	874	0.9599241840443998	0.9924106204609673	0.9965919494107834	48
Proteobacteria	3199	0.8224098978584763	0.92296162855682	0.9875115916308329	48
Alphaproteobacteria	994	0.5461939520333681	0.8181438998957248	0.9900449979305178	48
Betaproteobacteria	510	0.6418346479696173	0.7877592754893369	0.9811992266453259	48
Gammaproteobacteria	1390	0.6676301982122037	0.8704758550330355	0.990930665029189	48
Actinobacteria	1534	0.909159528078447	0.9801735396329991	0.9974152470657868	49
