Gid	stats
Bact23	0
Bact28	0
Bact34	0
Bact4	0
Bact3	0
Bact14	0
Bact13	0
Bact18	0
Bact12	1
Bact7	0
Bact8	0
Mari3	0
Mari2	0
Mari6	0
Mari1	0
Mari5	0
Fibr4	0
Fibr2	0
Fibr6	0
Fibr5	0
Fibr1	0
Fibr3	0
Zixi5	0
Zixi4	0
Zixi3	0
Zixi2	0
Zixi1	0
TA06A1	0
UBP14X1	0
Late2	0
Late1	1
Late3	0
P4572X1	0
Gemm5	1
Gemm9	0
Gemm3	1
Gemm6	0
Gemm7	0
Gemm2	1
Gemm4	1
Gemm8	0
Ferm1	0
Krum1	0
GemmA1	0
Eise4	0
Eise3	1
Eise2	1
Eise1	1
TA06X1	0
WOR1	0
WOR3	0
WOR6	0
WOR7	0
WOR2	0
WOR4	0
Edwa1	0
Cloa1	0
RBG1	0
Pori1	1
Pori2	0
Hydr2	0
Hydr1	0
Abys1	0
Sume1	0
UBP4X1	0
OLB1X1	0
Plan43	1
Plan42	1
Plan40	0
Plan16	1
Plan33	0
Plan44	0
Plan32	0
Plan12	0
Plan3	0
Plan30	0
Plan14	0
Plan22	0
Plan2	0
Plan4	0
Plan26	0
Plan5	0
Plan21	0
Plan31	1
Plan17	0
Plan23	0
Plan27	1
Plan39	0
Plan18	0
Plan7	0
Verr11	1
Verr12	0
Verr14	1
Verr9	0
Verr7	1
Verr2	1
Verr13	0
Verr4	0
Verr8	0
Verr3	0
Verr10	1
Verr5	0
Verr6	0
Aure2	0
Aure1	0
Aure3	0
Omni4	0
Omni2	0
Omni7	0
Omni3	0
Omni8	0
Omni6	1
Aero1	0
NPL1	0
UBA9X1	0
UBA9X3	0
UBA9X2	0
UBA6X1	0
Elus1	0
Elus2	0
Elus5	0
Elus3	1
Elus6	0
Elus8	0
Elus9	0
Elus10	0
Elus4	1
Elus7	0
Desa1	0
Gold1	0
Gold2	0
FCPU1	0
FCPU2	0
Fire1	0
Spir10	0
Spir3	0
Spir13	0
Spir2	0
Spir8	0
Spir12	0
Spir11	0
Spir15	1
Spir9	1
Spir4	0
Lind1	0
Lind2	0
Lind4	0
Wall1	0
Muir1	0
Rifl1	0
Fuso2	0
Syne1	0
Syne2	0
Syne8	0
Syne3	0
Syne7	0
Syne10	0
Syne6	0
Syne4	0
Syne5	0
Syne9	0
Calda2	0
Calda1	0
Dein5	1
Dein1	0
Dein7	1
Dein3	1
Dein4	1
Dein6	1
Dein2	1
Bipo1	1
Bipo2	0
Therg8	0
Therg6	0
Therg3	0
Therg5	0
Therg2	0
Therg4	0
Cyan40	1
Cyan27	1
Cyan11	1
Cyan26	1
Cyan25	0
Cyan10	1
Cyan45	1
Cyan35	1
Cyan46	1
Cyan32	1
Cyan41	1
Cyan33	1
Cyan21	1
Cyan31	1
Cyan34	1
Cyan30	1
Cyan24	1
Cyan14	1
Cyan15	1
Cyan16	1
Cyan29	1
Cyan23	1
Cyan19	1
Cyan47	1
Cyan44	1
Cyan43	1
Cyan22	1
Cyan36	1
Cyan38	1
Cyan28	1
Cyan37	1
Cyan42	1
Cyan3	1
Cyan20	1
Cyan7	1
Cyan12	1
Cyan13	1
Cyan18	1
Cyan4	0
Cyan9	0
