Gid	stats
Bact23	0
Bact28	1
Bact34	1
Bact4	1
Bact3	1
Bact14	1
Bact13	1
Bact18	1
Bact12	1
Bact7	1
Bact8	1
Mari3	0
Mari2	0
Mari6	1
Mari1	1
Mari5	1
Fibr4	0
Fibr2	0
Fibr6	1
Fibr5	0
Fibr1	0
Fibr3	0
Zixi5	1
Zixi4	0
Zixi3	0
Zixi2	1
Zixi1	1
TA06A1	0
UBP14X1	0
Late2	0
Late1	1
Late3	1
P4572X1	0
Gemm5	1
Gemm9	0
Gemm3	0
Gemm6	0
Gemm7	0
Gemm2	1
Gemm4	1
Gemm8	1
Ferm1	0
Krum1	1
GemmA1	1
Eise4	1
Eise3	0
Eise2	0
Eise1	0
TA06X1	1
WOR1	0
WOR3	1
WOR6	1
WOR7	1
WOR2	0
WOR4	0
Edwa1	0
Cloa1	0
RBG1	0
Pori1	1
Pori2	1
Hydr2	1
Hydr1	1
Abys1	0
Sume1	0
UBP4X1	1
OLB1X1	0
Plan43	1
Plan42	1
Plan40	0
Plan16	1
Plan33	0
Plan44	1
Plan32	1
Plan12	1
Plan3	0
Plan30	0
Plan14	1
Plan22	0
Plan2	1
Plan4	1
Plan26	0
Plan5	0
Plan21	0
Plan31	0
Plan17	1
Plan23	0
Plan27	0
Plan39	1
Plan18	1
Plan7	0
Verr11	1
Verr12	1
Verr14	0
Verr9	1
Verr7	1
Verr2	1
Verr13	0
Verr4	1
Verr8	0
Verr3	1
Verr10	0
Verr5	0
Verr6	0
Aure2	1
Aure1	0
Aure3	0
Omni4	0
Omni2	0
Omni7	1
Omni3	1
Omni8	1
Omni6	1
Aero1	0
NPL1	0
UBA9X1	0
UBA9X3	1
UBA9X2	0
UBA6X1	0
Elus1	0
Elus2	1
Elus5	1
Elus3	1
Elus6	0
Elus8	1
Elus9	1
Elus10	1
Elus4	0
Elus7	0
Desa1	1
Gold1	0
Gold2	0
FCPU1	1
FCPU2	1
Fire1	0
Spir10	0
Spir3	0
Spir13	0
Spir2	1
Spir8	0
Spir12	1
Spir11	1
Spir15	1
Spir9	1
Spir4	0
Lind1	1
Lind2	1
Lind4	0
Wall1	1
Muir1	0
Rifl1	0
Fuso2	1
Syne1	0
Syne2	0
Syne8	0
Syne3	0
Syne7	0
Syne10	0
Syne6	0
Syne4	0
Syne5	0
Syne9	0
Calda2	0
Calda1	0
Dein5	1
Dein1	0
Dein7	0
Dein3	0
Dein4	1
Dein6	0
Dein2	1
Bipo1	1
Bipo2	0
Therg8	0
Therg6	0
Therg3	0
Therg5	0
Therg2	0
Therg4	0
Cyan40	0
Cyan27	1
Cyan11	1
Cyan26	1
Cyan25	1
Cyan10	0
Cyan45	1
Cyan35	1
Cyan46	1
Cyan32	1
Cyan41	1
Cyan33	1
Cyan21	1
Cyan31	1
Cyan34	1
Cyan30	1
Cyan24	1
Cyan14	1
Cyan15	1
Cyan16	1
Cyan29	1
Cyan23	1
Cyan19	1
Cyan47	1
Cyan44	1
Cyan43	1
Cyan22	1
Cyan36	1
Cyan38	1
Cyan28	1
Cyan37	1
Cyan42	1
Cyan3	1
Cyan20	1
Cyan7	1
Cyan12	1
Cyan13	1
Cyan18	1
Cyan4	1
Cyan9	1
Cyan8	1
Cyan2	1
Cyan1	1
Marg1	0
Marg6	0
Marg2	1
Marg7	0
Therd1	0
Dict1	0
Arma4	0
Arma14	0
Arma12	0
Arma7	0
Arma11	0
Arma6	1
Arma15	1
Arma13	1
Arma9	0
Arma16	0
Arma3	1
UBP13X1	0
Erem6	1
Erem4	1
Erem5	1
Erem3	1
Erem2	1
CSP1X1	1
Pate48	1
Pate51	1
Pate27	1
Pate53	0
Pate33	1
Pate49	1
Pate41	1
Pate1	1
Pate50	1
Pate56	1
Pate30	1
Pate40	1
Pate55	1
Pate24	1
Pate39	1
Pate54	1
Pate31	0
Pate13	1
Pate34	0
Pate6	1
Pate14	1
Pate35	1
Pate5	1
Pate7	1
Pate43	1
Pate57	1
Pate44	1
Pate10	1
Pate52	1
Pate3	1
Pate22	1
Pate45	1
Pate11	1
Pate21	1
Pate15	1
Pate29	1
Pate26	1
Pate12	1
Pate46	1
Pate25	1
Pate28	1
Pate17	1
Pate8	1
Pate18	1
Pate38	1
Pate9	1
Pate36	1
Pate19	1
Pate37	1
Pate4	1
Pate32	1
Pate23	1
Chlo30	1
Chlo37	0
Chlo20	0
Chlo23	0
Chlo36	1
Chlo40	1
Chlo13	1
Chlo5	0
Chlo16	0
Chlo14	0
Chlo28	1
Chlo33	1
Chlo8	1
Chlo6	0
Chlo18	1
Chlo26	0
Chlo11	0
Chlo9	0
Chlo43	1
Chlo42	1
Chlo34	1
Chlo47	1
Chlo48	1
Chlo10	1
Chlo45	1
Chlo46	1
Chlo27	1
Chlo41	0
Chlo39	1
Chlo7	0
Chlo15	0
Chlo44	1
Chlo17	1
Chlo22	1
Chlo32	1
Chlo29	0
Chlo4	0
Chlo35	0
Chlo21	0
Chlo12	1
Chlo24	0
Chlo38	1
Chlo19	1
Chlo31	1
Chlo25	1
Dorm2	1
Dorm1	1
Dorm5	1
Dorm4	1
Dorm3	1
Acti50	0
Acti28	0
Acti47	1
Acti45	1
Acti52	0
Acti44	1
Acti12	1
Acti21	1
Acti48	1
Acti37	1
Acti46	0
Acti41	1
Acti43	1
Acti36	1
Acti14	1
Acti6	1
Acti34	1
Acti33	1
Acti35	1
Acti18	1
Acti16	0
Acti4	1
Acti10	1
Acti3	0
Acti7	1
Acti31	0
Acti25	0
Acti11	1
Acti22	1
Acti26	1
Acti39	1
Acti19	1
Acti23	1
Acti13	0
Acti49	0
Acti32	1
Acti38	1
Acti15	1
Acti40	0
Acti8	0
Acti24	0
Acti5	1
Acti2	0
Acti42	1
Acti51	1
Acti27	1
Acti9	0
Acti29	1
Acti30	1
Acti20	0
FirmF1	0
FirmF2	0
FirmF3	0
FirmG6	0
FirmG3	1
FirmG4	0
FirmG5	0
FirmG1	0
FirmG2	0
FirmE5	1
FirmE3	0
FirmE4	0
FirmE6	0
FirmE7	0
FirmE8	0
FirmE2	0
FirmE1	0
FirmA85	0
FirmA60	0
FirmA74	0
DTU0X1	0
SLNR1	0
FirmC13	1
FirmC17	0
FirmC10	0
FirmC14	0
FirmC18	0
FirmC19	0
FirmC8	1
FirmC15	0
FirmC12	1
FirmC7	0
FirmC11	0
FirmC3	0
FirmC6	1
FirmC16	1
FirmC1	1
FirmC4	0
FirmC9	1
FirmC5	0
FirmB8	0
FirmB5	0
FirmB16	1
FirmB13	0
FirmB4	0
FirmB17	0
FirmB15	0
FirmB1	1
FirmB3	1
FirmB14	0
FirmB9	0
FirmB10	0
FirmB2	0
FirmB11	0
FirmB12	0
FirmB6	0
FirmB7	0
Firms33	1
Firms23	1
Firms18	1
Firms32	1
Firms25	1
Firms2	1
Firms28	1
Firms9	1
Firms30	0
Firms31	1
Firms20	1
Firms29	1
Firms12	1
Firms21	1
Firms16	1
Firms15	0
Firms5	1
Firms7	0
Firms11	0
Firms17	1
Firms22	1
Firms27	0
Firms3	0
Firms13	1
Firms1	1
Firms10	1
Firms6	0
Firms8	1
Firms24	1
Firms26	1
Firms4	1
FirmD1	0
FirmD4	0
FirmD2	0
FirmD3	0
FirmA83	0
FirmA49	0
FirmA86	1
FirmA61	0
FirmA66	0
FirmA55	0
FirmA29	0
FirmA51	0
FirmA65	0
FirmA5	0
FirmA97	0
FirmA64	0
FirmA33	0
FirmA69	0
FirmA72	0
FirmA73	0
FirmA28	0
FirmA94	0
FirmA75	0
FirmA59	0
FirmA48	0
FirmA36	0
FirmA44	0
FirmA81	0
FirmA19	0
FirmA14	0
FirmA113	0
FirmA92	0
FirmA54	0
FirmA84	0
FirmA9	0
FirmA46	0
FirmA63	0
FirmA45	0
FirmA40	0
FirmA30	0
FirmA10	0
FirmA109	0
FirmA95	0
FirmA77	0
FirmA99	0
FirmA18	0
FirmA103	0
FirmA57	0
FirmA16	0
FirmA26	0
FirmA41	0
FirmA7	0
FirmA12	0
FirmA93	0
FirmA90	0
FirmA112	0
FirmA102	0
FirmA76	0
FirmA2	1
FirmA20	1
FirmA100	1
FirmA52	1
FirmA107	0
FirmA42	0
FirmA25	1
FirmA56	1
FirmA38	0
FirmA32	0
FirmA24	0
FirmA8	0
FirmA1	0
FirmA111	0
FirmA11	1
FirmA67	0
FirmA79	0
FirmA50	0
FirmA70	0
FirmA37	0
FirmA87	1
FirmA106	0
FirmA114	0
FirmA98	0
FirmA62	0
FirmA6	0
