trait	alpha	aic	logLik	GBDT40	Dstats
K02502	2.99793459992956	2694.38072931998	-1345.19036465999	No	1.0
K01533	5.46703236458116	3452.44665071772	-1724.22332535886	No	0.001
K17686	7.16130492138763	4674.07109405072	-2335.03554702536	No	0.0
K07107	2.87081377840848	1885.57091743332	-940.785458716662	No	0.993
K00873	2.11712641738979	1494.47731386105	-745.238656930524	No	0.79
K06285	1.84263441862921	384.209489193546	-190.104744596773	No	1.0
K01183	6.97913585517798	4993.07243740792	-2494.53621870396	No	0.717
K06306	5.34228646142102	940.091684386714	-468.045842193357	No	0.996
K04758	6.17232971877831	5343.02974825093	-2669.51487412546	No	0.739
K04759	6.05412502897544	5181.58436653589	-2588.79218326794	Yes	0.819
K00548	3.8648395417381	3956.8976940851	-1976.44884704255	No	0.967
K00297	6.56502053480722	4101.51667616498	-2048.75833808249	No	0.264
K03593	0.949681880669721	1731.85756739097	-863.928783695483	No	0.968
K01266	8.46285028009425	5545.97243934203	-2770.98621967101	No	0.299
K03702	4.69775529711906	1067.16583608434	-531.582918042169	No	0.0
K01925	2.19309481541331	2452.72476974823	-1224.36238487411	No	0.524
K02945	0.613827967109509	1050.43538208271	-523.217691041355	No	0.747
K03527	1.04802361122244	1573.51634125589	-784.758170627947	No	0.998
K00655	7.27307003334179	2442.08691655342	-1219.04345827671	No	0.388
K06942	1.85637433491324	2142.30422412531	-1069.15211206265	No	0.535
K03431	0.728747494259063	1490.55104918332	-743.275524591659	No	1.0
K07137	3.85496152150623	3861.1183606129	-1928.55918030645	Yes	0.995
K18672	0.553012734021753	756.315080677037	-376.157540338518	No	1.0
K01881	1.95462387044581	1065.62366757222	-530.811833786109	No	0.179
K01953	9.28902517438649	6481.69949886495	-3238.84974943248	No	0.008
K00014	3.66378053165817	2391.38423079342	-1193.69211539671	No	0.342
K03786	1.95711215572474	2472.1611402044	-1234.0805701022	No	0.993
K00891	3.24674586320747	2585.77820633853	-1290.88910316926	No	0.363
K04518	2.80092274326379	3139.33273939107	-1567.66636969554	No	0.777
K14170	1.98426451984648	1712.40466950226	-854.20233475113	No	1.0
K01736	3.03711546848114	1813.78501586085	-904.892507930424	No	0.725
K00800	3.14702795055837	1877.060518522	-936.530259260999	No	0.693
K01735	3.12738368047315	2380.42369266332	-1188.21184633166	No	0.74
K04517	2.42546486700746	2974.06680086487	-1485.03340043243	No	0.997
K03856	4.23194214768996	2950.39794238885	-1473.19897119442	No	0.968
K01677	3.12199661096569	2203.80143342968	-1099.90071671484	Yes	0.913
K00728	1.64713895731597	1257.38958633666	-626.694793168329	No	1.0
K07112	10.6207647082928	7250.32419824118	-3623.16209912059	No	0.001
K16710	12.6532204301328	6015.0559870942	-3005.5279935471	No	0.0
K06923	2.28748307653797	1631.36498526258	-813.682492631288	No	1.0
K18346	3.87551192685777	3217.74830648689	-1606.87415324345	No	0.992
K01784	9.27973268790001	3692.73895418752	-1844.36947709376	No	0.0
K16786	3.86885470350775	3979.72925796812	-1987.86462898406	No	0.989
K16787	6.45818015853459	4532.36903912846	-2264.18451956423	No	0.817
K16927	9.49228656007055	3003.4674339326	-1499.7337169663	No	0.662
K01821	15.6187981052975	8627.99618272855	-4311.99809136427	No	0.0
K04041	5.53500374255606	1982.62807883522	-989.31403941761	No	0.976
K02121	7.09464394801482	1528.59776945234	-762.298884726169	No	0.76
K02124	4.5983991989677	2417.52286632037	-1206.76143316018	No	0.86
K02123	3.99233353211572	2233.51982792984	-1114.75991396492	No	0.941
K01091	7.77445380633442	4300.04328076827	-2148.02164038414	No	0.02
K23518	13.5698112241727	7795.5477501365	-3895.77387506825	No	0.0
K07118	17.4576904475486	7269.25954077453	-3632.62977038726	No	0.0
K01066	12.5669843124203	7298.32576360952	-3647.16288180476	No	0.0
K01990	3.69278453362671	1778.10079453217	-887.050397266084	No	0.629
K15256	7.22498106759289	4870.25878468325	-2433.12939234162	No	0.606
K04094	1.30514973330652	1225.15093928191	-610.575469640956	No	1.0
K03168	1.10297221767763	1768.32188493833	-882.160942469164	No	0.956
K04096	4.31987736149943	1567.15710305889	-781.578551529444	No	0.0
K03437	2.04373517798255	2585.29856320705	-1290.64928160352	No	1.0
K02887	3.53601605812333	878.846681645356	-437.423340822678	No	0.0
K02916	5.44659599440976	1003.16293805583	-499.581469027913	No	0.0
K02520	8.19824326963128	969.486588039778	-482.743294019889	No	0.0
K03648	2.79592685740577	2580.20543668455	-1288.10271834227	No	0.996
K09816	4.70022059807549	3691.00778210359	-1843.5038910518	No	0.999
K03544	0.725458956941849	919.420751942808	-457.710375971404	No	0.821
K01358	0.4982483567327	620.293650788069	-308.146825394034	No	0.871
K03545	3.2147876372063	988.675627822493	-492.337813911246	No	0.0
K07099	1.24605410796816	513.151343018763	-254.575671509381	No	1.0
K01733	4.85391640815508	2901.15698547616	-1448.57849273808	No	0.484
K01810	3.69669632476704	2639.59225318638	-1317.79612659319	No	0.868
K01912	13.2394923336412	8248.48947821597	-4122.24473910798	No	0.0
K03307	7.99771911606134	6223.0624202364	-3109.5312101182	No	0.143
K05985	0.528443159920004	429.676496180487	-212.838248090243	No	1.0
K03215	2.96346223204308	3281.93115597135	-1638.96557798567	No	0.945
K03716	8.03617688526371	3392.11050438873	-1694.05525219436	No	0.5
K07052	9.894224698524	4743.70317946016	-2369.85158973008	No	0.122
K04068	3.8644663266951	3916.26998028987	-1956.13499014494	No	0.971
K08309	1.44830903867415	1866.02585073862	-931.012925369308	No	1.0
K00859	3.11637693773133	1140.9934821941	-568.496741097052	No	0.003
K02335	1.72247039633155	1335.1911754907	-665.59558774535	No	0.037
K06384	5.53566613390431	4511.90936987144	-2253.95468493572	No	0.926
