trait	alpha	aic	logLik	GBDT40	Dstats
K00763	6.65262924249879	4114.70250360557	-2055.35125180279	No	0.667
K00948	20.6495853881881	966.530308822708	-481.265154411354	No	0.0
K06168	0.980028887038412	1775.03397735608	-885.51698867804	No	0.977
K03555	0.990363064340568	1934.23433746342	-965.117168731709	No	1.0
K03572	1.1029861859704	2140.79467072224	-1068.39733536112	No	0.999
K00791	1.28605470788227	1558.58212490742	-777.29106245371	No	0.012
K06997	0.645641522534249	1119.34669995923	-557.673349979617	No	0.982
K09772	0.594688428654328	760.260245501542	-378.130122750771	No	1.0
K04074	1.52506409678296	1566.25978618097	-781.129893090484	No	1.0
K03101	4.2011008402811	1015.75872974723	-505.879364873617	No	0.18
K06180	3.8157799447158	1715.95375618933	-855.976878094663	No	0.0
K02825	1.31654477501426	1713.03277078244	-854.51638539122	No	1.0
K00609	2.25247116618302	1907.11631461455	-951.558157307277	No	0.534
K01465	4.06195204317284	3393.06669430132	-1694.53334715066	No	0.925
K01591	1.87633430892851	2133.377999033	-1064.6889995165	No	0.308
K02823	2.45034718453049	2368.82711561842	-1182.41355780921	No	0.999
K17828	2.46231197024066	2679.666043782	-1337.833021891	Yes	1.0
K00762	1.74892561224271	1558.47329562475	-777.236647812375	No	0.319
K03630	1.31618787804568	1752.05585143169	-874.027925715847	No	1.0
K06950	6.36494833700294	4969.06702572743	-2482.53351286371	No	0.822
K03704	3.23404825503491	2558.11942807371	-1277.05971403686	No	0.956
K04083	1.15282477916772	1501.88464343287	-748.942321716435	No	1.0
K00046	22.6662107058973	5786.71165142097	-2891.35582571049	No	0.0
K03523	3.18829320156008	3423.90238660717	-1709.95119330358	No	1.0
K01621	9.99623211349779	4824.01078437237	-2410.00539218618	No	0.496
K01209	13.4260952874988	5368.6301071012	-2682.3150535506	No	0.003
K01207	7.07299242710162	5047.8973194311	-2521.94865971555	No	0.225
K12574	1.07136471737685	1250.34427113929	-623.172135569647	No	1.0
K01737	6.49582357420934	5492.75786498746	-2744.37893249373	No	0.476
K10026	4.75992962076155	4661.60434321204	-2328.80217160602	No	0.954
K01495	4.34022880784476	3077.8803686002	-1536.9401843001	No	0.922
K06920	4.37981952070231	4441.20519895003	-2218.60259947501	No	0.976
K09457	3.80781990405093	3113.72705247109	-1554.86352623555	No	0.996
K07478	3.74647244671099	1413.93661032088	-704.968305160438	No	0.236
K00600	7.68819935421416	1634.33570303925	-815.167851519623	No	0.038
K10773	1.08425627576815	1384.77000826725	-690.385004133626	No	0.951
K01012	5.83162063631012	5144.77764334893	-2570.38882167447	No	0.419
K02902	4.54101325327705	1593.03698160693	-794.518490803463	No	0.0
K01728	24.6702481899731	3196.2196281102	-1596.1098140551	No	0.007
K00997	2.48822239529242	2968.43966100098	-1482.21983050049	No	0.998
K17758	8.36730942855809	4143.56240421105	-2069.78120210552	No	0.008
K17759	4.93452083823883	4303.53620927313	-2149.76810463657	No	0.509
K01775	0.566641408052321	1113.53290299229	-554.766451496145	No	0.718
K04070	4.39655596587131	1548.07247431174	-772.036237155871	No	0.949
K02108	1.89498937945903	1574.39333181812	-785.19666590906	No	0.843
K02110	7.18233672733266	4680.5932924721	-2338.29664623605	No	0.618
K02109	2.26635363249572	1410.03927792312	-703.019638961559	No	0.721
K02111	2.29554646646328	1606.25029508039	-801.125147540197	No	0.692
K02115	2.75459082379629	1997.93942261532	-996.969711307658	No	0.554
K02112	2.42295166378313	1605.57647229232	-800.788236146159	No	0.595
K02114	3.73992853865352	3149.40546555515	-1572.70273277757	No	0.976
K07456	0.706147367771423	952.400281123865	-474.200140561933	No	1.0
K07462	0.72389960475695	1216.9634771598	-606.481738579899	No	1.0
K00951	0.490446445069991	711.778971132468	-353.889485566234	No	0.902
K01069	2.92646240100122	2305.26078851658	-1150.63039425829	No	0.977
K22132	1.76840338483734	2012.5130752821	-1004.25653764105	No	1.0
K00058	6.0165595640499	3734.99950769622	-1865.49975384811	No	0.638
K00831	2.60730851018521	2419.52723340735	-1207.76361670368	No	0.995
K02337	1.67356452900543	2269.22681572597	-1132.61340786299	No	0.0
K03524	4.30214204678364	3241.5557945854	-1618.7778972927	No	0.134
K02493	4.07887802621922	2874.36145075581	-1435.18072537791	No	0.196
K01155	47.5094290944545	3802.55602185739	-1899.27801092869	No	0.0
K06223	29.0117631652606	9931.28651033402	-4963.64325516701	No	0.0
K00640	5.16319289004288	3341.3070023918	-1668.6535011959	No	0.865
K01883	0.869985702496993	1543.78849433984	-769.89424716992	No	0.029
K11145	0.569140943505536	481.618339683817	-238.809169841908	No	1.0
K01972	2.36011900854085	952.892228282283	-474.446114141142	No	0.0
K00962	0.660848918261832	1133.10955064119	-564.554775320595	No	0.964
K07124	8.96598899092801	6989.42106367911	-3492.71053183955	No	0.014
K01870	0.7220783465395	1542.10071167493	-769.050355837463	No	0.025
K04072	5.98269881595635	3431.14016818098	-1713.57008409049	No	0.965
K00334	2.70905211638695	3018.86026782676	-1507.43013391338	No	1.0
K07053	3.76970465028993	3948.91941469158	-1972.45970734579	No	0.996
K17992	5.76457402463908	981.796652724634	-488.898326362317	No	0.953
K00335	3.4835085913966	3778.54830343614	-1887.27415171807	No	0.998
K18331	7.34278929525223	1133.80927713922	-564.904638569611	No	0.813
K18332	7.13712098885589	1312.7272147974	-654.3636073987	No	0.788
K07045	14.5016242995649	7082.43588521409	-3539.21794260705	No	0.0
K19955	6.77581658645294	1186.70580991411	-591.352904957057	No	0.984
K03210	1.47575524550833	1221.15891529602	-608.57945764801	No	0.947
K06871	11.0129976296299	7833.9496362537	-3914.97481812685	No	0.0
K09163	6.12171152977706	923.541948078068	-459.770974039034	No	0.901
K04066	0.735775207283506	1584.47155883283	-790.235779416413	No	0.034
K13038	2.35237765093882	2220.82865692398	-1108.41432846199	No	0.699
K03060	1.49225214993179	1358.78716512951	-677.393582564754	No	1.0
K00942	1.97530344584305	1499.06467997245	-747.532339986226	No	0.133
K09777	1.05856921182365	699.559588871265	-347.779794435632	No	1.0
K21471	3.56314409270858	2629.78203437437	-1312.89101718719	No	0.999
K02340	5.09840863453836	1828.1547251712	-912.077362585601	No	0.001
K01176	12.7818026899752	5567.29861475997	-2781.64930737998	No	0.031
K03088	3.01664205373816	2536.87754130464	-1266.43877065232	No	0.99
K01952	1.4215131139919	1794.80883356645	-895.404416783227	No	1.0
K03783	3.36116917824128	3614.29976434683	-1805.14988217342	No	1.0
K07173	3.52943734397473	2654.83500371613	-1325.41750185806	No	1.0
K12960	6.53417292839148	5288.40841633169	-2642.20420816585	No	0.445
K01588	3.1615503135033	1987.02954893307	-991.514774466536	No	0.247
K01933	3.39753259227284	2015.74292930934	-1005.87146465467	No	0.201
K11175	4.85065939624988	3162.71502348319	-1579.35751174159	No	0.194
K00602	4.07821858904329	1764.03117332825	-880.015586664125	No	0.342
K03469	4.09938474328711	2640.61765890339	-1318.3088294517	No	0.956
K04488	2.84751371534585	3347.56079884497	-1671.78039942249	No	0.998
K00566	1.81631123646667	2324.75516419146	-1160.37758209573	No	0.903
K03657	0.793865534677316	1196.56081881545	-596.280409407723	No	0.194
K00567	10.6037155804255	7085.71455167653	-3540.85727583827	No	0.0
K19091	9.75299674151254	3894.41036540631	-1945.20518270315	No	0.0
K01153	150.48634109365	12172.9890247105	-6084.49451235524	No	0.0
K07304	6.85723222971946	2708.58010709943	-1352.29005354972	No	0.161
K00852	7.07023737051786	5813.10932007104	-2904.55466003552	No	0.191
K02529	5.32853529367117	4940.09347003841	-2468.04673501921	No	0.405
K13075	26.4002388889652	7260.87291287284	-3628.43645643642	No	0.0
K10439	11.7930055171473	7450.4857729619	-3723.24288648095	No	0.0
K02057	11.2758620310251	6650.80758652579	-3323.40379326289	No	0.003
K10440	12.3249359666015	7206.43338672972	-3601.21669336486	No	0.0
K00286	3.73261217781419	2153.2256987903	-1074.61284939515	No	0.276
K01756	1.91344510231602	1849.22791182939	-922.613955914694	No	0.198
K07460	0.947770775713986	1985.32726502706	-990.66363251353	No	0.999
K03470	1.70093103377731	1315.31803807173	-655.659019035864	No	0.009
K14540	1.32738082087185	1439.7869879339	-717.89349396695	No	1.0
K03110	2.27728240055383	1437.82106689545	-716.910533447723	No	0.023
K03529	2.17779980559388	3609.6123441926	-1802.8061720963	No	0.934
K15532	18.0878683464097	5065.85653112372	-2530.92826556186	No	0.0
K06206	4.0490333768448	2779.10404311429	-1387.55202155715	No	0.999
K22278	8.62174994339686	4484.51064240625	-2240.25532120313	No	0.432
K00537	5.33027884841895	4889.77528059099	-2442.88764029549	No	0.761
K06962	2.28563536403315	1553.60404088052	-774.802020440262	No	1.0
K15223	16.6369461908193	670.331166709773	-333.165583354886	No	0.961
K01451	7.58022591799599	2484.24558009015	-1240.12279004508	No	0.994
K15738	3.3554307937597	3336.13795171674	-1666.06897585837	No	0.919
K15792	0.523949293050924	314.1296220737	-155.06481103685	No	0.991
K03590	0.682797814367472	1109.770713415	-552.8853567075	No	1.0
K02535	1.17129698693395	1237.05369264896	-616.526846324481	No	1.0
K07795	11.1805699507816	6152.2218210314	-3074.1109105157	No	0.05
K03719	4.3704019704262	4490.0819282242	-2243.0409641121	No	0.963
K05800	6.08213008665153	2008.3332234818	-1002.1666117409	No	1.0
K07232	3.97427678810198	1259.09693364846	-627.548466824231	No	1.0
K12973	9.01407865266427	646.378786914533	-321.189393457267	No	0.998
K10806	4.16647905336192	2251.70944706538	-1123.85472353269	No	1.0
K01897	2.39890977160745	2882.26269425775	-1439.13134712887	No	0.997
K01092	2.71721638888612	2902.7210342748	-1449.3605171374	No	0.999
K15461	1.67407723031037	1183.39722951911	-589.698614759556	No	1.0
K03406	3.63711933283013	3779.71066242221	-1887.85533121111	No	0.997
K03711	2.25365948617349	2731.10566772794	-1363.55283386397	No	1.0
K03928	5.30997962314296	4198.04555810836	-2097.02277905418	No	0.899
K06940	5.78464100149705	4999.35130104466	-2497.67565052233	No	0.864
K01246	6.57673092869499	5129.03361911122	-2562.51680955561	No	0.21
K07290	12.6049040077492	1767.402742066	-881.701371032998	No	0.979
K01118	13.0063193859601	7321.31909356532	-3658.65954678266	No	0.0
K03286	2.61091267066566	3085.1437329775	-1540.57186648875	No	1.0
K01724	3.39817382658664	3570.30165594261	-1783.15082797131	No	1.0
K05712	15.8560704221075	4055.60421303146	-2025.80210651573	No	0.289
K00992	1.53163524641502	1082.73938513022	-539.369692565112	No	1.0
K07102	1.8398045004744	1314.71655120335	-655.358275601675	No	1.0
K04744	0.902649319607108	1217.4733965131	-606.73669825655	No	1.0
K03771	1.39583114083324	1489.85446968851	-742.927234844255	No	1.0
K00865	5.49172454759799	4858.30438696022	-2427.15219348011	No	0.867
K06445	5.94919674465247	1915.79448462019	-955.897242310096	No	0.999
K01759	3.81626079950429	4025.28975481036	-2010.64487740518	No	0.994
K03430	23.5788468552791	4294.9235625636	-2145.4617812818	No	0.0
K07043	7.11607212060802	5616.51207477635	-2806.25603738817	No	0.247
K03273	6.16433334603511	5376.85019112917	-2686.42509556458	No	0.681
K01879	1.52658117325016	1883.01956040317	-939.509780201584	No	1.0
K01878	1.08368166321078	1415.09955577295	-705.549777886477	No	1.0
K01692	4.65268640811353	4476.79205955904	-2236.39602977952	No	0.957
K01676	3.9933647122304	3120.07864374093	-1558.03932187046	No	1.0
K07749	11.6880359100131	4423.4504665085	-2209.72523325425	No	0.39
K00626	4.94877137151289	3372.95517798965	-1684.47758899483	No	0.853
K07068	13.3850151459826	5009.63378708902	-2502.81689354451	No	0.018
K15866	7.36388663306852	4576.09281267727	-2286.04640633864	No	0.897
K09709	19.9165679431739	2988.24176509743	-1492.12088254872	No	0.122
K18291	26.6154422233348	455.537620882321	-225.768810441161	No	0.958
K18289	26.8090620645489	1029.47235251469	-512.736176257344	No	0.767
K01644	5.69987754191489	5414.40646488708	-2705.20323244354	No	0.795
K18292	30.4338668929819	961.226795349853	-478.613397674927	No	0.652
K00950	5.32065285512622	2624.12515415159	-1310.06257707579	No	0.635
K00970	1.30719539565059	1347.24798153029	-671.623990765146	No	1.0
K10763	1.03885661799636	415.161111403697	-205.580555701849	No	1.0
K03975	3.75507362914427	3431.39426629357	-1713.69713314678	No	1.0
K16087	14.0013671363105	4786.33648420924	-2391.16824210462	No	0.244
K01679	5.07010186386708	4554.98555192194	-2275.49277596097	No	0.765
K07088	8.57194177044675	6670.0905235977	-3333.04526179885	No	0.001
K00681	7.57133280935539	5985.36078004665	-2990.68039002332	No	0.232
K01433	4.64814586587461	4303.93963832915	-2149.96981916458	No	0.99
K00275	2.7653548871073	3208.78347166216	-1602.39173583108	Yes	1.0
K13888	15.520556551866	2706.61733514452	-1351.30866757226	No	0.867
K05685	14.5517444928653	2966.08545583023	-1481.04272791511	No	0.849
K05710	6.84417220539605	4683.09434078332	-2339.54717039166	No	0.758
K01996	4.70164182132073	4536.75391019234	-2266.37695509617	No	0.969
K01995	4.72471239974632	4575.86203362514	-2285.93101681257	No	0.969
K01998	5.05191271009205	4846.68567528247	-2421.34283764123	No	0.939
K01999	5.4582203475298	5055.26998887267	-2525.63499443634	No	0.826
K01485	16.3570164960929	7421.28985461233	-3708.64492730617	No	0.0
K02035	4.15179588186261	3372.97755030975	-1684.48877515487	No	0.869
K02033	3.58591813447879	2715.80305163932	-1355.90152581966	No	0.94
K02034	3.22499516608029	2570.69181032354	-1283.34590516177	No	0.958
K02031	3.23016139159875	2932.82418464047	-1464.41209232023	No	0.974
K02032	3.25658224340193	2905.12933904567	-1450.56466952284	No	0.97
K00662	17.4211670545838	4136.96170475671	-2066.48085237836	No	0.0
K06020	1.42283934913636	1858.62891555467	-927.314457777333	No	1.0
K04062	12.1315149103932	2902.93696296911	-1449.46848148455	No	0.867
K03608	2.13480766464773	1991.60310547862	-993.80155273931	No	1.0
K03609	2.03941294152452	2273.53595753681	-1134.7679787684	No	1.0
K03610	2.05372557066758	2198.61187906224	-1097.30593953112	No	1.0
K01640	4.50857967697501	4091.31685391738	-2043.65842695869	No	0.997
K01886	1.92935375229512	2066.94963591487	-1031.47481795744	No	1.0
K07659	2.88267848109376	819.403424429311	-407.701712214656	No	1.0
K07638	3.16020607503607	1636.42687129519	-816.213435647596	No	1.0
K22589	17.9334750008198	2016.53809449916	-1006.26904724958	No	0.765
K01262	5.37302475403532	4369.71988895596	-2182.85994447798	No	0.641
K01531	20.8776933481943	5625.48441549159	-2810.74220774579	No	0.0
K02351	4.93274985696186	4131.249809371	-2063.6249046855	No	0.961
K01423	2.8078131697301	2557.50560350194	-1276.75280175097	No	1.0
K07019	7.48954984298913	1949.1978149416	-972.5989074708	No	0.999
K02014	1.22697952908685	1605.96013365946	-800.980066829729	No	1.0
K02146	3.87706693704792	2277.3735492544	-1136.6867746272	No	0.516
K11927	3.34032548557813	3041.80295624318	-1518.90147812159	No	1.0
K00254	1.41394908913256	1863.83764176979	-929.918820884895	Yes	1.0
K21420	1.32452053729168	1029.33131203419	-512.665656017094	No	1.0
K00684	1.72045697824629	2041.95658342021	-1018.9782917101	No	1.0
K18453	3.06652252990806	954.467202540109	-475.233601270054	No	1.0
K18900	11.0429967305119	3256.87356151146	-1626.43678075573	No	0.893
K15977	7.1622948397214	6162.88308234824	-3079.44154117412	No	0.165
K07733	18.5610776276297	6904.04073883872	-3450.02036941936	No	0.0
K12055	44.0440543090158	2094.9711610361	-1045.48558051805	No	0.0
K08365	23.9252178985054	5679.58145677624	-2837.79072838812	No	0.0
K08363	32.9923011532984	5396.37094014909	-2696.18547007455	No	0.0
K08364	27.7194186910431	4005.41118569744	-2000.70559284872	No	0.0
K00520	73.434430477681	5954.95677969497	-2975.47838984749	No	0.0
K12071	37.3545344566219	3169.94070029764	-1582.97035014882	No	0.0
K12070	42.9504056892385	2806.64353495695	-1401.32176747848	No	0.0
K03325	19.1670594778229	9633.86636949783	-4814.93318474891	No	0.0
K03741	13.6095026126964	8552.31533816372	-4274.15766908186	No	0.0
K02483	5.68555142365694	5217.76913590036	-2606.88456795018	No	0.841
K22552	21.2689576110292	7543.14924242806	-3769.57462121403	No	0.0
K07233	14.8202667662557	3166.08012019382	-1581.04006009691	No	0.492
K07156	8.38455237791288	4927.63775351636	-2461.81887675818	No	0.883
K07245	7.73580676840625	4706.35219600113	-2351.17609800056	No	0.944
K07492	18.7638436081194	7505.82010791292	-3750.91005395646	No	0.0
K06186	1.76749593604478	1057.93547096353	-526.967735481764	No	1.0
K01772	1.58489576489733	1948.2362502108	-972.1181251054	Yes	1.0
K07263	2.5169285044597	3124.31726338742	-1560.15863169371	No	0.999
K09989	4.46837511896253	1997.20953236937	-996.604766184685	No	1.0
K00031	5.14842961063089	4763.43685164634	-2379.71842582317	No	0.897
K02847	12.3616162586599	4488.02239850406	-2242.01119925203	No	0.277
K07667	11.6890772032984	6527.28273999348	-3261.64136999674	No	0.006
K07646	12.6465546067957	7563.12853168072	-3779.56426584036	No	0.0
K01545	18.9651941098468	2909.0393732458	-1452.5196866229	No	0.389
K14393	6.90716668824392	5175.04331946019	-2585.5216597301	No	0.736
K03297	16.1996221998987	7600.94450618631	-3798.47225309316	No	0.0
K03634	1.1401948630226	1499.19958913484	-747.599794567418	No	1.0
K06015	15.7708879427738	5586.59135568154	-2791.29567784077	No	0.0
K01753	14.4305666777017	5255.79891300553	-2625.89945650276	No	0.109
K11206	4.29540595914543	3613.40816214394	-1804.70408107197	No	1.0
K00019	8.73951515799389	5281.78075126539	-2638.89037563269	No	0.631
K09861	2.95527852433825	3052.11881926733	-1524.05940963366	No	1.0
K17103	2.54913578530229	2863.05503539991	-1429.52751769995	No	1.0
K07017	17.5935485115179	6522.63753964771	-3259.31876982386	No	0.0
K07165	10.399560816471	4523.35905324238	-2259.67952662119	No	0.656
K23514	11.2520257932319	6749.71830456555	-3372.85915228277	No	0.027
K01501	35.0739088771663	3785.83044430746	-1890.91522215373	No	0.0
K00344	5.19662441363642	5162.98872184576	-2579.49436092288	No	0.874
K07093	10.6084879077241	5975.83736359345	-2985.91868179673	No	0.066
K07078	9.79188417077959	2911.98380665135	-1453.99190332568	No	0.808
K16088	21.2027157452829	2972.8842117855	-1484.44210589275	No	0.364
K07649	15.4087780193831	2398.79823525936	-1197.39911762968	No	0.952
K07774	24.994359087189	1599.63021714165	-797.815108570823	No	0.898
K03300	22.5550412956342	4884.52233283327	-2440.26116641664	No	0.001
K00023	3.51578534386955	2148.23318549849	-1072.11659274925	No	1.0
K09984	22.1152372420001	3388.89908529507	-1692.44954264754	No	0.043
K09781	9.59700445272863	4440.36995366185	-2218.18497683093	No	0.896
K03566	2.69819615279317	1926.43281152518	-961.216405762591	No	1.0
K17850	29.9120870780729	1867.30864345758	-931.654321728788	No	0.43
K17836	14.0475269666627	8016.5622601413	-4006.28113007065	No	0.0
K16091	16.4438086533952	3979.20841818895	-1987.60420909447	No	0.048
K19200	23.9168970947707	4528.36863200564	-2262.18431600282	No	0.0
K18303	10.3421480915594	1125.28778593163	-560.643892965816	No	0.99
K02168	16.5517146068718	5595.96838301968	-2795.98419150984	No	0.007
K18139	10.5020364068437	2345.23557947338	-1170.61778973669	No	0.977
K18138	6.64744737936225	2976.60600311413	-1486.30300155706	No	0.998
K03585	7.70884831853555	3294.60587211288	-1645.30293605644	No	0.983
K03651	9.53994301300895	5478.48696921793	-2737.24348460896	No	0.511
K00332	2.3196958905737	1721.61879989126	-858.809399945631	No	1.0
K00333	2.5810723706852	2589.44643073991	-1292.72321536996	No	1.0
K00336	4.20693337956644	2525.70224400348	-1260.85112200174	No	1.0
K00337	2.74266233480921	2979.02504670394	-1487.51252335197	No	1.0
K00338	2.16163811478983	2589.98807304283	-1292.99403652142	No	1.0
K00339	2.38456050656543	2771.7516642827	-1383.87583214135	No	1.0
K00340	2.01215850753781	2508.09252514096	-1252.04626257048	No	1.0
K00341	2.40899464254297	2803.3491600452	-1399.6745800226	No	1.0
K00342	2.713847899118	2755.02704450046	-1375.51352225023	No	1.0
K00343	2.33728859137991	2867.45668490627	-1431.72834245314	No	1.0
K16090	9.1975231727246	2297.82263590715	-1146.91131795357	No	0.969
K01079	2.09207217619499	2441.65199157703	-1218.82599578851	No	1.0
K04756	10.3477417302966	2318.6500840515	-1157.32504202575	No	0.951
K21929	5.13845876907144	4914.22341894766	-2455.11170947383	No	0.931
K08227	5.10928333647858	718.766533054807	-357.383266527403	No	1.0
K03769	3.97793855461405	3199.83376520253	-1597.91688260127	No	0.997
K05527	1.30288118388056	1048.5067737865	-522.253386893252	No	1.0
K06190	1.30292215783402	970.244393585278	-483.122196792639	No	1.0
K07305	5.48155212320723	4865.00415686329	-2430.50207843165	No	0.512
K16783	13.2573036331556	2179.17361924544	-1087.58680962272	No	0.851
K01114	15.3820686556435	3971.95031614562	-1983.97515807281	No	0.36
K01997	5.24297159035785	4991.49265365683	-2493.74632682842	No	0.88
K05973	2.34611771753039	1111.20238677246	-553.60119338623	No	1.0
K05524	1.1234499825227	1479.86635069322	-737.933175346612	No	1.0
K09933	7.08466676606318	2514.37877232086	-1255.18938616043	No	0.989
K03762	15.9698635062332	4913.9175129727	-2454.95875648635	No	0.196
K01438	9.17706113970234	5582.38202980143	-2789.19101490072	No	0.362
K01963	2.73202124300699	3334.26207557885	-1665.13103778943	No	0.97
K12976	14.5289320218475	1118.07465086032	-557.03732543016	No	0.987
K08300	2.03736742412925	1340.6764782886	-668.3382391443	No	1.0
K06179	0.918213656429361	907.239842299123	-451.619921149561	No	1.0
K07147	6.10962251681439	2314.66448538469	-1155.33224269234	No	1.0
K17247	7.30832361615284	2993.49814655379	-1494.74907327689	No	0.985
K11066	6.16467946623724	809.970437853469	-402.985218926735	No	1.0
K03597	1.85242558359627	702.451169611209	-349.225584805605	No	1.0
K03598	3.02459035160808	910.138890927309	-453.069445463655	No	1.0
K04771	1.96619879459425	1714.51756344089	-855.258781720444	No	1.0
K06987	8.36052621852903	4841.49793038627	-2418.74896519313	No	0.543
K03301	14.2611131126117	2577.01779384517	-1286.50889692259	No	0.185
K19416	1.06726789240098	539.046514585946	-267.523257292973	No	1.0
K02339	0.579308459825607	541.414295458302	-268.707147729151	No	1.0
K01255	2.66864985253712	2931.2277060126	-1463.6138530063	No	0.999
K07091	1.07998720311018	1273.59585140687	-634.797925703433	No	1.0
K00140	7.29947629539426	5577.67323083634	-2786.83661541817	No	0.683
K01908	8.26379270320439	3784.29496954806	-1890.14748477403	No	0.936
K11477	21.3502277156994	7965.08179840715	-3980.54089920357	No	0.0
K06902	5.48761617091877	4534.70846217773	-2265.35423108886	No	0.936
K01895	2.5189902032499	3069.01126536445	-1532.50563268222	Yes	1.0
K01620	6.72602689776995	5454.55339727204	-2725.27669863602	No	0.415
K00311	1.50489955255643	1229.72667109514	-612.863335547568	No	1.0
K01028	8.50705337535052	3790.17195170609	-1893.08597585304	No	0.903
K01029	6.6817757400668	4674.49572951307	-2335.24786475653	No	0.971
K02348	8.744606708641	5793.39753679586	-2894.69876839793	No	0.418
K13051	10.5034664845839	3894.55940420764	-1945.27970210382	No	0.629
K13892	20.3930087663476	1227.61977048081	-611.809885240403	No	0.966
K15581	7.42353196731113	5503.61915280936	-2749.80957640468	No	0.498
K16203	10.7501429708866	3394.4936532354	-1695.2468266177	No	0.406
K05589	1.82456284357779	1461.20621245061	-728.603106225305	No	1.0
K03269	1.0598553001331	1433.26292011163	-714.631460055813	No	1.0
K07444	3.68997771427878	2825.639107317	-1410.8195536585	No	1.0
K08973	1.15453629035975	1211.84916093928	-603.924580469639	No	1.0
K01720	13.3934772259404	4612.95150167837	-2304.47575083919	No	0.258
K01659	7.05970573386545	2582.58261121682	-1289.29130560841	No	0.991
K03417	7.81434963573165	4183.81570947509	-2089.90785473755	No	0.895
K00024	2.38495510604455	2904.76567753862	-1450.38283876931	No	1.0
K03710	9.62651411165478	6941.30543460057	-3468.65271730029	No	0.01
K00241	1.68398129238089	2397.80344621368	-1196.90172310684	No	1.0
K00242	1.53411777992999	1471.46987412776	-733.734937063882	No	1.0
K00239	1.55599958608828	2220.21958339746	-1108.10979169873	No	1.0
K00240	1.30738093114746	1649.72273771247	-822.861368856235	No	1.0
K09159	1.94059863742323	1195.18071199892	-595.590355999459	No	1.0
K01647	1.62719423102227	2243.70195543314	-1119.85097771657	Yes	0.999
K08983	19.6234168547088	1266.38795960457	-631.193979802286	No	0.892
K00029	5.2687916484648	4921.85191870445	-2458.92595935223	No	0.874
K00163	1.96293105194103	2562.04516783043	-1279.02258391522	No	1.0
K02083	16.7523220976375	4193.76681089478	-2094.88340544739	No	0.055
K06016	10.6263213799588	4757.81308759597	-2376.90654379798	No	0.356
K01505	6.85588737393049	3154.11872826937	-1575.05936413468	No	0.994
K00164	1.62909468347234	2219.64962964966	-1107.82481482483	Yes	1.0
K00658	2.88450478782375	3759.75271296697	-1877.87635648349	Yes	0.992
K00382	3.9810859451232	2414.10348960155	-1205.05174480078	No	0.809
K06916	2.09132596515866	1130.09788081649	-563.048940408244	No	1.0
K03722	1.97360244071674	2403.85010144233	-1199.92505072116	No	1.0
K05807	0.347712169928488	532.73067893288	-264.36533946644	No	1.0
K03821	4.29682010015201	2944.07344358318	-1470.03672179159	No	1.0
K07230	13.967576850849	2326.50541570293	-1161.25270785147	No	0.667
K07243	14.6508612938634	6664.04886629692	-3330.02443314846	No	0.0
K06998	17.2772916227195	6948.15166591422	-3472.07583295711	No	0.0
K04065	5.51910777486002	4274.64891840112	-2135.32445920056	No	0.972
K03802	9.16553541391284	3108.07417627078	-1552.03708813539	No	0.658
K09919	2.49148059694437	2498.65542518786	-1247.32771259393	No	1.0
K11529	4.23369516244239	2965.19276057451	-1480.59638028725	No	0.993
K08305	0.72271551167756	756.346253928089	-376.173126964045	No	1.0
K11740	22.7570790162862	1863.15347125088	-929.576735625441	No	0.268
K16264	8.90917639338639	6939.1670731854	-3467.5835365927	No	0.01
K22292	1.86894633305054	524.369398103087	-260.184699051543	No	1.0
K00568	1.53589811775808	1085.91022472283	-540.955112361417	No	1.0
K00817	3.75450077345963	2935.04832697883	-1465.52416348941	No	0.695
K05788	1.22578168610526	1028.78821412451	-512.394107062253	No	1.0
K08992	5.09383315914767	4804.54349671402	-2400.27174835701	No	0.925
K19804	1.52056583605563	662.452873685355	-329.226436842677	No	1.0
K03274	3.62042650039189	2078.85958134632	-1037.42979067316	No	0.999
K02237	2.33205081194637	3109.98254702866	-1552.99127351433	No	1.0
K12339	3.63733583429792	1887.62885322135	-941.814426610676	No	1.0
K07085	7.93279276897401	4388.15270478763	-2192.07635239381	No	0.311
K09758	21.3239279088249	2536.63073014864	-1266.31536507432	No	0.036
K20035	7.81902143479197	1836.27623997205	-916.138119986027	No	0.979
K03386	6.95559454677821	5240.97172647485	-2618.48586323743	No	0.217
K23163	10.4730677781578	3389.08644763511	-1692.54322381756	No	0.939
K02045	9.52572269516437	4313.14238363392	-2154.57119181696	No	0.868
K00390	4.6305726392392	4450.15878377387	-2223.07939188693	No	0.96
K00957	4.67887047358527	4408.55801920587	-2202.27900960293	No	0.976
K00956	5.00708369998018	4348.0300178521	-2172.01500892605	No	0.978
K06013	4.69198301820226	2594.62039119154	-1295.31019559577	No	0.993
K13288	0.411442974814389	504.789193313962	-250.394596656981	No	1.0
K02616	14.5381093219868	4439.39479102828	-2217.69739551414	No	0.33
K02613	8.68673906973837	4009.10888638086	-2002.55444319043	No	0.955
K02614	12.1135753173879	6100.14897499622	-3048.07448749811	No	0.021
K00453	7.30979646249029	3949.67788042109	-1972.83894021054	No	0.972
K07130	10.0924753315405	4257.71465177924	-2126.85732588962	No	0.082
K03774	3.46604230778078	1484.59353671666	-740.296768358331	No	1.0
K00799	0.899302349735955	1307.18615870719	-651.593079353597	No	1.0
K01800	8.43708435852031	2656.89643845443	-1326.44821922721	No	0.992
