$ARGS
character(0)

$input
[1] "/mnt/home-user/sswang/project/BTL/results/dating/official/wCelegans-correct/bootstrap/1-pf/dating/C60/mcmctree/mcmc.txt"

$only_norm
[1] TRUE

$cpu
[1] 20

t_n278	N(27.989290921231,2.37201598176597)
t_n279	N(25.7027265261213,7.44227521520172)
t_n280	N(20.2905277698493,4.6102715786619)
t_n281	N(10.0230869480473,3.34062062141477)
t_n282	N(32.253371971781,2.48517595418347)
t_n283	N(31.2956232397895,2.44512588012932)
t_n284	N(29.9072933392083,2.41811150317746)
t_n285	N(24.511585541525,2.51876773915204)
t_n286	N(20.1349099040957,2.41967552786434)
t_n287	N(13.4550742455648,1.92621051715058)
t_n288	N(6.20839186432933,1.32712359665727)
t_n289	N(9.85519953747967,1.56526964312483)
t_n290	N(5.600092360269,1.08975438726526)
t_n291	N(6.182441807912,1.17328820447939)
t_n292	N(29.3140665966268,2.42652148576238)
t_n293	N(37.9651208122237,2.84464441932736)
t_n294	N(36.1048653426093,2.81675175631778)
t_n295	N(36.0172359656438,2.82303090807365)
mu	N(0.0314079596903333,0.00536813244026148)
sigma2	N(0.021679633829,0.00321081430984908)
